
NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
2270221807596760,Herman Wibowo,Gianyar,18-07-1959,Laki-Laki,AB,Jalan Diponegoro No.56,09/02,Mekarjaya,Sukajaya,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1276185807596760,Kartika Wahyudi,Bontang,18-07-1959,Perempuan,O,Jalan Sudirman No.56,09/02,Purnawarman,Cipayung,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3386601807596760,Gunawan Purnomo,Madiun,18-07-1959,Laki-Laki,AB,Jalan Thamrin No.56,09/02,Cilincing,Sukmajaya,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1101081807596760,Teguh Wibowo,Payakumbuh,18-07-1959,Laki-Laki,AB,Jalan Diponegoro No.56,09/02,Sindangsari,Tapos,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3102521807596760,Hendra Santoso,Tegal,18-07-1959,Laki-Laki,B,Jalan Diponegoro No.56,09/02,Purnawarman,Pancoran Mas,Buddha,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1899076311444083,Fitri Sutrisno,Jakarta Barat,23-11-1944,Perempuan,AB,Jalan Sudirman No.19,01/07,Sukamaju,Sukajaya,Buddha,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
4263282311444083,Budi Hidayat,Jakarta Utara,23-11-1944,Laki-Laki,A,Jalan Thamrin No.19,01/07,Sukamaju,Cibadak,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
2228092311444083,Yusuf Saputra,Bengkalis,23-11-1944,Laki-Laki,A,Jalan Sudirman No.19,01/07,Mekarjaya,Sukmajaya,Buddha,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3622132311444083,Wahyu Pratama,Tegal,23-11-1944,Laki-Laki,A,Jalan Merdeka No.19,01/07,Tanjungsari,Beji,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1773122311444083,Ahmad Wibowo,Bontang,23-11-1944,Laki-Laki,AB,Jalan Merdeka No.19,01/07,Mekarjaya,Kemayoran,Katolik,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
2481446311444083,Dwi Setiawan,Gianyar,23-11-1944,Perempuan,A,Jalan Merdeka No.19,01/07,Cibubur,Cibadak,Konghucu,Belum Kawin,Guru,WNI,Seumur Hidup
3922856311444083,Dewi Santoso,Tanjungbalai,23-11-1944,Perempuan,AB,Jalan Diponegoro No.19,01/07,Cilincing,Sukajaya,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3481386311444083,Dewi Wijaya,Padang,23-11-1944,Perempuan,AB,Jalan Gajah Mada No.19,01/07,Tanjungsari,Pancoran Mas,Konghucu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2501526311444083,Murni Setiawan,Tenggarong,23-11-1944,Perempuan,A,Jalan Diponegoro No.19,01/07,Sindangsari,Tapos,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2008056311444083,Indah Wijaya,Kuta,23-11-1944,Perempuan,A,Jalan Thamrin No.19,01/07,Mekarjaya,Cipayung,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3257582311444083,Herman Sutrisno,Medan,23-11-1944,Laki-Laki,AB,Jalan Diponegoro No.19,01/07,Cibubur,Pancoran Mas,Katolik,Cerai Hidup,Wartawan,WNI,Seumur Hidup
2923446311444083,Indah Setiawan,Jakarta Pusat,23-11-1944,Perempuan,A,Jalan Gajah Mada No.19,01/07,Cilincing,Tapos,Konghucu,Kawin,Wiraswasta,WNI,Seumur Hidup
3996916311444083,Kartika Pratama,Kediri,23-11-1944,Perempuan,O,Jalan Diponegoro No.19,01/07,Sindangsari,Sukmajaya,Buddha,Kawin,Pegawai Negeri,WNI,Seumur Hidup
3077936311444083,Murni Wijaya,Surakarta,23-11-1944,Perempuan,AB,Jalan Gajah Mada No.19,01/07,Purnawarman,Cibadak,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
4218136311444083,Fitri Sutrisno,Yogyakarta,23-11-1944,Perempuan,A,Jalan Thamrin No.19,01/07,Mekarjaya,Cibadak,Kristen,Belum Kawin,Wartawan,WNI,Seumur Hidup
1753676311444083,Dewi Wahyudi,Surakarta,23-11-1944,Perempuan,A,Jalan Merdeka No.19,01/07,Mekarjaya,Cibadak,Kristen,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3714862311444083,Gunawan Purnomo,Jakarta Timur,23-11-1944,Laki-Laki,AB,Jalan Diponegoro No.19,01/07,Sindangsari,Tapos,Buddha,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
3474402311444083,Ahmad Setiawan,Depok,23-11-1944,Laki-Laki,B,Jalan Sudirman No.19,01/07,Cibubur,Sukajaya,Buddha,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2871402311444083,Joko Wahyudi,Denpasar,23-11-1944,Laki-Laki,B,Jalan Gajah Mada No.19,01/07,Purnawarman,Cipayung,Konghucu,Belum Kawin,Buruh,WNI,Seumur Hidup
2044512311444083,Yusuf Wibowo,Bengkalis,23-11-1944,Laki-Laki,A,Jalan Thamrin No.19,01/07,Tanjungsari,Tapos,Hindu,Kawin,Wiraswasta,WNI,Seumur Hidup
1703392311444083,Wahyu Saputra,Bekasi,23-11-1944,Laki-Laki,AB,Jalan Diponegoro No.19,01/07,Kebon Kacang,Cipayung,Islam,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3944836311444083,Lestari Purnomo,Bekasi,23-11-1944,Perempuan,A,Jalan Merdeka No.19,01/07,Tanah Abang,Cibadak,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
3997482311444083,Gunawan Wahyudi,Semarang,23-11-1944,Laki-Laki,B,Jalan Diponegoro No.19,01/07,Kebon Kacang,Beji,Islam,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
3092116311444083,Putri Wijaya,Denpasar,23-11-1944,Perempuan,O,Jalan Diponegoro No.19,01/07,Sukamaju,Cibadak,Buddha,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1903016311444083,Kartika Santoso,Depok,23-11-1944,Perempuan,O,Jalan Merdeka No.19,01/07,Sindangsari,Tapos,Hindu,Kawin,Pegawai Swasta,WNI,Seumur Hidup
3127162311444083,Joko Hidayat,Kediri,23-11-1944,Laki-Laki,B,Jalan Merdeka No.19,01/07,Kebon Kacang,Pancoran Mas,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
4168966311444083,Zahra Wibowo,Tebing Tinggi,23-11-1944,Perempuan,A,Jalan Thamrin No.19,01/07,Cilincing,Beji,Hindu,Kawin,Wartawan,WNI,Seumur Hidup
3026992311444083,Hendra Hidayat,Bantul,23-11-1944,Laki-Laki,A,Jalan Diponegoro No.19,01/07,Sindangsari,Pancoran Mas,Kristen,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3686246706935237,Lestari Purnomo,Kulon Progo,27-06-1993,Perempuan,AB,Jalan Merdeka No.16,02/14,Tanjungsari,Beji,Konghucu,Cerai Hidup,Buruh,WNI,Seumur Hidup
1937192706935237,Teguh Saputra,Kampar,27-06-1993,Laki-Laki,AB,Jalan Gajah Mada No.16,02/14,Karanganyar,Kemayoran,Hindu,Kawin,Buruh,WNI,Seumur Hidup
1718872706935237,Herman Pratama,Denpasar,27-06-1993,Laki-Laki,B,Jalan Sudirman No.16,02/14,Mekarjaya,Cibadak,Buddha,Kawin,Wiraswasta,WNI,Seumur Hidup
1746972706935237,Ahmad Wijaya,Kampar,27-06-1993,Laki-Laki,A,Jalan Diponegoro No.16,02/14,Karanganyar,Cipayung,Islam,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
2039106706935237,Indah Santoso,Jakarta Barat,27-06-1993,Perempuan,O,Jalan Sudirman No.16,02/14,Mekarjaya,Cibadak,Islam,Kawin,Pegawai Negeri,WNI,Seumur Hidup
4202232706935237,Joko Setiawan,Kuta,27-06-1993,Laki-Laki,B,Jalan Diponegoro No.16,02/14,Mekarjaya,Pancoran Mas,Buddha,Kawin,Pegawai Swasta,WNI,Seumur Hidup
1715502706935237,Herman Wibowo,Solok,27-06-1993,Laki-Laki,O,Jalan Gajah Mada No.16,02/14,Sukamaju,Cipayung,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2648916706935237,Murni Sutrisno,Sawahlunto,27-06-1993,Perempuan,B,Jalan Diponegoro No.16,02/14,Kebon Kacang,Cilandak,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1236686706935237,Kartika Santoso,Samarinda,27-06-1993,Perempuan,O,Jalan Diponegoro No.16,02/14,Karanganyar,Sukajaya,Kristen,Cerai Hidup,Guru,WNI,Seumur Hidup
3088916706935237,Sunarti Wibowo,Dumai,27-06-1993,Perempuan,O,Jalan Gajah Mada No.16,02/14,Karanganyar,Cilandak,Kristen,Cerai Hidup,Buruh,WNI,Seumur Hidup
2287332706935237,Teguh Sutrisno,Siak,27-06-1993,Laki-Laki,O,Jalan Merdeka No.16,02/14,Karanganyar,Pancoran Mas,Katolik,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
4312306706935237,Putri Saputra,Bengkalis,27-06-1993,Perempuan,B,Jalan Gajah Mada No.16,02/14,Cibubur,Cipayung,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
3537992706935237,Ahmad Sutrisno,Cirebon,27-06-1993,Laki-Laki,O,Jalan Gajah Mada No.16,02/14,Cibubur,Cipayung,Islam,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3902516706935237,Sunarti Wahyudi,Bekasi,27-06-1993,Perempuan,AB,Jalan Merdeka No.16,02/14,Desakota,Cengkareng,Kristen,Kawin,Guru,WNI,Seumur Hidup
2879606706935237,Lestari Setiawan,Sleman,27-06-1993,Perempuan,AB,Jalan Merdeka No.16,02/14,Kebon Kacang,Pancoran Mas,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1315722706935237,Wahyu Hidayat,Magelang,27-06-1993,Laki-Laki,AB,Jalan Thamrin No.16,02/14,Desakota,Kemayoran,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
1265646706935237,Indah Wahyudi,Tegal,27-06-1993,Perempuan,B,Jalan Gajah Mada No.16,02/14,Cibubur,Kemayoran,Kristen,Kawin,Pegawai Negeri,WNI,Seumur Hidup
2651082706935237,Joko Sutrisno,Bengkalis,27-06-1993,Laki-Laki,AB,Jalan Merdeka No.16,02/14,Purnawarman,Cilandak,Hindu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3682916706935237,Lestari Hidayat,Semarang,27-06-1993,Perempuan,B,Jalan Gajah Mada No.16,02/14,Desakota,Sukajaya,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1893796706935237,Dewi Hidayat,Kuta,27-06-1993,Perempuan,AB,Jalan Thamrin No.16,02/14,Sindangsari,Kemayoran,Katolik,Belum Kawin,Guru,WNI,Seumur Hidup
1841472706935237,Budi Saputra,Bantul,27-06-1993,Laki-Laki,AB,Jalan Sudirman No.16,02/14,Purnawarman,Cibadak,Hindu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3930596706935237,Kartika Santoso,Jakarta Utara,27-06-1993,Perempuan,O,Jalan Sudirman No.16,02/14,Karanganyar,Cengkareng,Kristen,Kawin,Pegawai Swasta,WNI,Seumur Hidup
1375312706935237,Hendra Sutrisno,Sawahlunto,27-06-1993,Laki-Laki,B,Jalan Gajah Mada No.16,02/14,Tanah Abang,Pancoran Mas,Konghucu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3198556706935237,Zahra Setiawan,Denpasar,27-06-1993,Perempuan,AB,Jalan Merdeka No.16,02/14,Sukamaju,Sukmajaya,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
3163926706935237,Kartika Wibowo,Surabaya,27-06-1993,Perempuan,AB,Jalan Gajah Mada No.16,02/14,Sukamaju,Cibadak,Hindu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3161292706935237,Yusuf Wibowo,Cirebon,27-06-1993,Laki-Laki,B,Jalan Diponegoro No.16,02/14,Tanah Abang,Sukajaya,Buddha,Cerai Hidup,Buruh,WNI,Seumur Hidup
1945106706935237,Lestari Wijaya,Bontang,27-06-1993,Perempuan,A,Jalan Sudirman No.16,02/14,Kebon Jeruk,Cibadak,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3523582706935237,Wahyu Setiawan,Bandung,27-06-1993,Laki-Laki,AB,Jalan Merdeka No.16,02/14,Kebon Jeruk,Sukmajaya,Kristen,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
4116486706935237,Indah Wijaya,Jakarta Pusat,27-06-1993,Perempuan,O,Jalan Thamrin No.16,02/14,Mekarjaya,Beji,Katolik,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1369256706935237,Dewi Hidayat,Tebing Tinggi,27-06-1993,Perempuan,B,Jalan Sudirman No.16,02/14,Sukamaju,Cengkareng,Islam,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2274702706935237,Teguh Saputra,Sawahlunto,27-06-1993,Laki-Laki,O,Jalan Gajah Mada No.16,02/14,Kebon Jeruk,Beji,Hindu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1187992104949790,Joko Saputra,Surakarta,21-04-1994,Laki-Laki,B,Jalan Gajah Mada No.145,11/06,Sukamaju,Pancoran Mas,Konghucu,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1945526104949790,Dwi Wibowo,Sleman,21-04-1994,Perempuan,A,Jalan Sudirman No.145,11/06,Mekarjaya,Sukmajaya,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
4244552104949790,Teguh Wahyudi,Payakumbuh,21-04-1994,Laki-Laki,A,Jalan Gajah Mada No.145,11/06,Kebon Kacang,Sukajaya,Kristen,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
4040546104949790,Fitri Wijaya,Semarang,21-04-1994,Perempuan,AB,Jalan Thamrin No.145,11/06,Cibubur,Sukajaya,Konghucu,Kawin,Buruh,WNI,Seumur Hidup
2731872104949790,Ahmad Setiawan,Bontang,21-04-1994,Laki-Laki,O,Jalan Sudirman No.145,11/06,Kebon Kacang,Kemayoran,Hindu,Kawin,Wiraswasta,WNI,Seumur Hidup
3021086104949790,Dwi Pratama,Siak,21-04-1994,Perempuan,O,Jalan Sudirman No.145,11/06,Sukamaju,Sukmajaya,Kristen,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3848966104949790,Dewi Wijaya,Jakarta Barat,21-04-1994,Perempuan,O,Jalan Diponegoro No.145,11/06,Sindangsari,Cibadak,Konghucu,Kawin,Wiraswasta,WNI,Seumur Hidup
4110312104949790,Ahmad Saputra,Depok,21-04-1994,Laki-Laki,B,Jalan Sudirman No.145,11/06,Cilincing,Pancoran Mas,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1910862104949790,Teguh Wibowo,Magelang,21-04-1994,Laki-Laki,O,Jalan Gajah Mada No.145,11/06,Desakota,Tapos,Konghucu,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1138242104949790,Wahyu Wijaya,Binjai,21-04-1994,Laki-Laki,B,Jalan Merdeka No.145,11/06,Tanah Abang,Tapos,Kristen,Cerai Hidup,Guru,WNI,Seumur Hidup
1881456104949790,Dewi Purnomo,Singaraja,21-04-1994,Perempuan,B,Jalan Gajah Mada No.145,11/06,Tanah Abang,Tapos,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
4487906104949790,Murni Wibowo,Sleman,21-04-1994,Perempuan,AB,Jalan Merdeka No.145,11/06,Tanah Abang,Kemayoran,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
1917266104949790,Indah Santoso,Singaraja,21-04-1994,Perempuan,B,Jalan Diponegoro No.145,11/06,Kebon Jeruk,Cilandak,Konghucu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1144192104949790,Herman Wibowo,Sawahlunto,21-04-1994,Laki-Laki,B,Jalan Gajah Mada No.145,11/06,Kebon Kacang,Cilandak,Konghucu,Belum Kawin,Guru,WNI,Seumur Hidup
1619712104949790,Herman Wibowo,Kampar,21-04-1994,Laki-Laki,B,Jalan Thamrin No.145,11/06,Tanjungsari,Kemayoran,Hindu,Belum Kawin,Buruh,WNI,Seumur Hidup
3446366104949790,Dewi Purnomo,Malang,21-04-1994,Perempuan,AB,Jalan Diponegoro No.145,11/06,Karanganyar,Beji,Katolik,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2029886104949790,Putri Hidayat,Siak,21-04-1994,Perempuan,O,Jalan Diponegoro No.145,11/06,Desakota,Beji,Buddha,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1764572104949790,Teguh Wibowo,Jakarta Timur,21-04-1994,Laki-Laki,O,Jalan Merdeka No.145,11/06,Desakota,Tapos,Konghucu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
1514112104949790,Herman Wijaya,Pekanbaru,21-04-1994,Laki-Laki,B,Jalan Gajah Mada No.145,11/06,Mekarjaya,Sukmajaya,Konghucu,Kawin,Wartawan,WNI,Seumur Hidup
3801876104949790,Fitri Saputra,Surakarta,21-04-1994,Perempuan,B,Jalan Sudirman No.145,11/06,Cilincing,Cengkareng,Buddha,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1771076104949790,Dwi Wijaya,Bukittinggi,21-04-1994,Perempuan,O,Jalan Gajah Mada No.145,11/06,Sukamaju,Cibadak,Islam,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
2282596104949790,Zahra Sutrisno,Madiun,21-04-1994,Perempuan,B,Jalan Merdeka No.145,11/06,Karanganyar,Kemayoran,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
2650772104949790,Wahyu Purnomo,Denpasar,21-04-1994,Laki-Laki,AB,Jalan Gajah Mada No.145,11/06,Sindangsari,Sukajaya,Konghucu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1967056104949790,Indah Sutrisno,Malang,21-04-1994,Perempuan,AB,Jalan Thamrin No.145,11/06,Sindangsari,Cilandak,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2101796104949790,Murni Saputra,Kampar,21-04-1994,Perempuan,AB,Jalan Diponegoro No.145,11/06,Cibubur,Beji,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
2480696104949790,Dwi Pratama,Binjai,21-04-1994,Perempuan,O,Jalan Sudirman No.145,11/06,Cilincing,Pancoran Mas,Kristen,Cerai Hidup,Buruh,WNI,Seumur Hidup
1807912104949790,Hendra Sutrisno,Sleman,21-04-1994,Laki-Laki,A,Jalan Gajah Mada No.145,11/06,Sindangsari,Cilandak,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
3207802104949790,Teguh Wahyudi,Jakarta Barat,21-04-1994,Laki-Laki,B,Jalan Gajah Mada No.145,11/06,Purnawarman,Cipayung,Kristen,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1195912104949790,Wahyu Saputra,Payakumbuh,21-04-1994,Laki-Laki,AB,Jalan Thamrin No.145,11/06,Kebon Kacang,Beji,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
3419166104949790,Indah Purnomo,Gunungkidul,21-04-1994,Perempuan,AB,Jalan Diponegoro No.145,11/06,Cibubur,Pancoran Mas,Islam,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
1533282104949790,Joko Pratama,Singaraja,21-04-1994,Laki-Laki,A,Jalan Thamrin No.145,11/06,Desakota,Tapos,Islam,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3650512104949790,Wahyu Sutrisno,Bekasi,21-04-1994,Laki-Laki,B,Jalan Diponegoro No.145,11/06,Desakota,Sukajaya,Konghucu,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2485526104949790,Indah Wijaya,Purwokerto,21-04-1994,Perempuan,A,Jalan Thamrin No.145,11/06,Cilincing,Sukmajaya,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
1160182104949790,Yusuf Wahyudi,Jakarta Utara,21-04-1994,Laki-Laki,B,Jalan Sudirman No.145,11/06,Sukamaju,Sukajaya,Buddha,Kawin,Guru,WNI,Seumur Hidup
3171926104949790,Kartika Purnomo,Jakarta Utara,21-04-1994,Perempuan,AB,Jalan Gajah Mada No.145,11/06,Karanganyar,Sukajaya,Hindu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
3260186104949790,Kartika Setiawan,Kutai Barat,21-04-1994,Perempuan,A,Jalan Merdeka No.145,11/06,Purnawarman,Sukmajaya,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
3411272104949790,Gunawan Sutrisno,Jakarta Barat,21-04-1994,Laki-Laki,O,Jalan Diponegoro No.145,11/06,Purnawarman,Sukmajaya,Konghucu,Belum Kawin,Buruh,WNI,Seumur Hidup
3943286104949790,Indah Wahyudi,Bontang,21-04-1994,Perempuan,O,Jalan Sudirman No.145,11/06,Karanganyar,Sukajaya,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
2904222104949790,Gunawan Setiawan,Madiun,21-04-1994,Laki-Laki,AB,Jalan Merdeka No.145,11/06,Kebon Kacang,Tapos,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1510066104949790,Lestari Santoso,Jakarta Barat,21-04-1994,Perempuan,O,Jalan Sudirman No.145,11/06,Kebon Jeruk,Cengkareng,Kristen,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
3933152104949790,Hendra Saputra,Gianyar,21-04-1994,Laki-Laki,A,Jalan Thamrin No.145,11/06,Tanah Abang,Tapos,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3994924411024846,Lestari Hidayat,Bekasi,04-11-2002,Perempuan,O,Jalan Sudirman No.60,06/16,Cilincing,Cibadak,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3851240411024846,Yusuf Saputra,Bandung,04-11-2002,Laki-Laki,A,Jalan Diponegoro No.60,06/16,Tanjungsari,Tapos,Islam,Belum Kawin,Karyawan Honorer,WNI,Seumur Hidup
3780224411024846,Dewi Saputra,Tenggarong,04-11-2002,Perempuan,B,Jalan Diponegoro No.60,06/16,Desakota,Cilandak,Katolik,Kawin,Buruh,WNI,Seumur Hidup
3892944411024846,Indah Wahyudi,Depok,04-11-2002,Perempuan,AB,Jalan Sudirman No.60,06/16,Tanjungsari,Kemayoran,Buddha,Belum Kawin,Karyawan Honorer,WNI,Seumur Hidup
3215064411024846,Indah Saputra,Yogyakarta,04-11-2002,Perempuan,AB,Jalan Thamrin No.60,06/16,Tanjungsari,Kemayoran,Hindu,Kawin,Wartawan,WNI,Seumur Hidup
3359700411024846,Joko Pratama,Jakarta Utara,04-11-2002,Laki-Laki,AB,Jalan Gajah Mada No.60,06/16,Purnawarman,Cengkareng,Islam,Kawin,Wiraswasta,WNI,Seumur Hidup
4058520411024846,Teguh Setiawan,Surakarta,04-11-2002,Laki-Laki,AB,Jalan Merdeka No.60,06/16,Karanganyar,Beji,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
