NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
2039105106624565,Indah Santoso,Jakarta Barat,11-06-1962,Perempuan,O,Jalan Sudirman No.150,01/24,Mekarjaya,Cibadak,Islam,Kawin,Pegawai Negeri,WNI,Seumur Hidup
4202230109503941,Joko Setiawan,Kuta,01-09-1950,Laki-Laki,B,Jalan Diponegoro No.172,07/18,Mekarjaya,Pancoran Mas,Buddha,Kawin,Pegawai Swasta,WNI,Seumur Hidup
1715502601955135,Herman Wibowo,Solok,26-01-1995,Laki-Laki,O,Jalan Gajah Mada No.71,06/01,Sukamaju,Cipayung,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2648915211846354,Murni Sutrisno,Sawahlunto,12-11-1984,Perempuan,B,Jalan Diponegoro No.59,14/22,Kebon Kacang,Cilandak,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1236684310804576,Kartika Santoso,Samarinda,03-10-1980,Perempuan,O,Jalan Diponegoro No.161,02/05,Karanganyar,Sukajaya,Kristen,Cerai Hidup,Guru,WNI,Seumur Hidup
3088914205822998,Sunarti Wibowo,Dumai,02-05-1982,Perempuan,O,Jalan Gajah Mada No.161,01/17,Karanganyar,Cilandak,Kristen,Cerai Hidup,Buruh,WNI,Seumur Hidup
2287332702655449,Teguh Sutrisno,Siak,27-02-1965,Laki-Laki,O,Jalan Merdeka No.58,12/12,Karanganyar,Pancoran Mas,Katolik,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
4312306011026919,Putri Saputra,Bengkalis,20-11-2002,Perempuan,B,Jalan Gajah Mada No.112,04/18,Cibubur,Cipayung,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
3537991005819387,Ahmad Sutrisno,Cirebon,10-05-1981,Laki-Laki,O,Jalan Gajah Mada No.144,04/22,Cibubur,Cipayung,Islam,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3902515110540914,Sunarti Wahyudi,Bekasi,11-10-1954,Perempuan,AB,Jalan Merdeka No.82,20/03,Desakota,Cengkareng,Kristen,Kawin,Guru,WNI,Seumur Hidup
2879605409816521,Lestari Setiawan,Sleman,14-09-1981,Perempuan,AB,Jalan Merdeka No.158,06/17,Kebon Kacang,Pancoran Mas,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1315720107981927,Wahyu Hidayat,Magelang,01-07-1998,Laki-Laki,AB,Jalan Thamrin No.115,05/20,Desakota,Kemayoran,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
1265644108569171,Indah Wahyudi,Tegal,01-08-1956,Perempuan,B,Jalan Gajah Mada No.72,03/24,Cibubur,Kemayoran,Kristen,Kawin,Pegawai Negeri,WNI,Seumur Hidup
2651082010654461,Joko Sutrisno,Bengkalis,20-10-1965,Laki-Laki,AB,Jalan Merdeka No.171,10/17,Purnawarman,Cilandak,Hindu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3682916604956213,Lestari Hidayat,Semarang,26-04-1995,Perempuan,B,Jalan Gajah Mada No.145,06/12,Desakota,Sukajaya,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1893795208740851,Dewi Hidayat,Kuta,12-08-1974,Perempuan,AB,Jalan Thamrin No.158,04/04,Sindangsari,Kemayoran,Katolik,Belum Kawin,Guru,WNI,Seumur Hidup
1841471307982454,Budi Saputra,Bantul,13-07-1998,Laki-Laki,AB,Jalan Sudirman No.119,04/20,Purnawarman,Cibadak,Hindu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3930596708063636,Kartika Santoso,Jakarta Utara,27-08-2006,Perempuan,O,Jalan Sudirman No.9,09/22,Karanganyar,Cengkareng,Kristen,Kawin,Pegawai Swasta,WNI,Seumur Hidup
1375310102602280,Hendra Sutrisno,Sawahlunto,01-02-1960,Laki-Laki,B,Jalan Gajah Mada No.121,20/18,Tanah Abang,Pancoran Mas,Konghucu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3198556604781567,Zahra Setiawan,Denpasar,26-04-1978,Perempuan,AB,Jalan Merdeka No.158,06/21,Sukamaju,Sukmajaya,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
3163926106719152,Kartika Wibowo,Surabaya,21-06-1971,Perempuan,AB,Jalan Gajah Mada No.196,13/01,Sukamaju,Cibadak,Hindu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3161290807853512,Yusuf Wibowo,Cirebon,08-07-1985,Laki-Laki,B,Jalan Diponegoro No.70,03/10,Tanah Abang,Sukajaya,Buddha,Cerai Hidup,Buruh,WNI,Seumur Hidup
1945105102893341,Lestari Wijaya,Bontang,11-02-1989,Perempuan,A,Jalan Sudirman No.170,13/17,Kebon Jeruk,Cibadak,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3523581104877929,Wahyu Setiawan,Bandung,11-04-1987,Laki-Laki,AB,Jalan Merdeka No.97,11/05,Kebon Jeruk,Sukmajaya,Kristen,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
4116486710064903,Indah Wijaya,Jakarta Pusat,27-10-2006,Perempuan,O,Jalan Thamrin No.64,20/09,Mekarjaya,Beji,Katolik,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1369256605692754,Dewi Hidayat,Tebing Tinggi,26-05-1969,Perempuan,B,Jalan Sudirman No.148,16/12,Sukamaju,Cengkareng,Islam,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2274700208979495,Teguh Saputra,Sawahlunto,02-08-1997,Laki-Laki,O,Jalan Gajah Mada No.30,09/04,Kebon Jeruk,Beji,Hindu,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1187990911776579,Joko Saputra,Surakarta,09-11-1977,Laki-Laki,B,Jalan Gajah Mada No.90,12/04,Sukamaju,Pancoran Mas,Konghucu,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1945524703661778,Dwi Wibowo,Sleman,07-03-1966,Perempuan,A,Jalan Sudirman No.8,03/02,Mekarjaya,Sukmajaya,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
4244550401493304,Teguh Wahyudi,Payakumbuh,04-01-1949,Laki-Laki,A,Jalan Gajah Mada No.16,12/22,Kebon Kacang,Sukajaya,Kristen,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
4040546801821124,Fitri Wijaya,Semarang,28-01-1982,Perempuan,AB,Jalan Thamrin No.184,03/04,Cibubur,Sukajaya,Konghucu,Kawin,Buruh,WNI,Seumur Hidup
2731872811551555,Ahmad Setiawan,Bontang,28-11-1955,Laki-Laki,O,Jalan Sudirman No.8,12/19,Kebon Kacang,Kemayoran,Hindu,Kawin,Wiraswasta,WNI,Seumur Hidup
3021084308993022,Dwi Pratama,Siak,03-08-1999,Perempuan,O,Jalan Sudirman No.133,12/03,Sukamaju,Sukmajaya,Kristen,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3848964412005908,Dewi Wijaya,Jakarta Barat,04-12-2000,Perempuan,O,Jalan Diponegoro No.149,16/20,Sindangsari,Cibadak,Konghucu,Kawin,Wiraswasta,WNI,Seumur Hidup
4110311705837596,Ahmad Saputra,Depok,17-05-1983,Laki-Laki,B,Jalan Sudirman No.181,06/07,Cilincing,Pancoran Mas,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1910861812923108,Teguh Wibowo,Magelang,18-12-1992,Laki-Laki,O,Jalan Gajah Mada No.79,12/19,Desakota,Tapos,Konghucu,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1138242604976599,Wahyu Wijaya,Binjai,26-04-1997,Laki-Laki,B,Jalan Merdeka No.94,06/13,Tanah Abang,Tapos,Kristen,Cerai Hidup,Guru,WNI,Seumur Hidup
1881456401809521,Dewi Purnomo,Singaraja,24-01-1980,Perempuan,B,Jalan Gajah Mada No.50,18/05,Tanah Abang,Tapos,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
4487904206512194,Murni Wibowo,Sleman,02-06-1951,Perempuan,AB,Jalan Merdeka No.81,11/13,Tanah Abang,Kemayoran,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
1917265310724082,Indah Santoso,Singaraja,13-10-1972,Perempuan,B,Jalan Diponegoro No.32,14/23,Kebon Jeruk,Cilandak,Konghucu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1144190708723574,Herman Wibowo,Sawahlunto,07-08-1972,Laki-Laki,B,Jalan Gajah Mada No.119,15/03,Kebon Kacang,Cilandak,Konghucu,Belum Kawin,Guru,WNI,Seumur Hidup
1619711505975647,Herman Wibowo,Kampar,15-05-1997,Laki-Laki,B,Jalan Thamrin No.78,16/20,Tanjungsari,Kemayoran,Hindu,Belum Kawin,Buruh,WNI,Seumur Hidup
3446364905929715,Dewi Purnomo,Malang,09-05-1992,Perempuan,AB,Jalan Diponegoro No.39,15/13,Karanganyar,Beji,Katolik,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2029886510074835,Putri Hidayat,Siak,25-10-2007,Perempuan,O,Jalan Diponegoro No.198,01/23,Desakota,Beji,Buddha,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1764572009674832,Teguh Wibowo,Jakarta Timur,20-09-1967,Laki-Laki,O,Jalan Merdeka No.132,01/13,Desakota,Tapos,Konghucu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
1514112409780328,Herman Wijaya,Pekanbaru,24-09-1978,Laki-Laki,B,Jalan Gajah Mada No.137,01/12,Mekarjaya,Sukmajaya,Konghucu,Kawin,Wartawan,WNI,Seumur Hidup
3801874301915887,Fitri Saputra,Surakarta,03-01-1991,Perempuan,B,Jalan Sudirman No.26,08/21,Cilincing,Cengkareng,Buddha,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1771076605937298,Dwi Wijaya,Bukittinggi,26-05-1993,Perempuan,O,Jalan Gajah Mada No.194,13/11,Sukamaju,Cibadak,Islam,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
2282594711030296,Zahra Sutrisno,Madiun,07-11-2003,Perempuan,B,Jalan Merdeka No.149,13/19,Karanganyar,Kemayoran,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
2650772707750331,Wahyu Purnomo,Denpasar,27-07-1975,Laki-Laki,AB,Jalan Gajah Mada No.198,05/24,Sindangsari,Sukajaya,Konghucu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
1967055501043101,Indah Sutrisno,Malang,15-01-2004,Perempuan,AB,Jalan Thamrin No.70,12/09,Sindangsari,Cilandak,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2101794905674731,Murni Saputra,Kampar,09-05-1967,Perempuan,AB,Jalan Diponegoro No.32,19/24,Cibubur,Beji,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
2480696812913078,Dwi Pratama,Binjai,28-12-1991,Perempuan,O,Jalan Sudirman No.118,03/15,Cilincing,Pancoran Mas,Kristen,Cerai Hidup,Buruh,WNI,Seumur Hidup
1807912210980116,Hendra Sutrisno,Sleman,22-10-1998,Laki-Laki,A,Jalan Gajah Mada No.26,14/09,Sindangsari,Cilandak,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
3207802711799365,Teguh Wahyudi,Jakarta Barat,27-11-1979,Laki-Laki,B,Jalan Gajah Mada No.177,02/23,Purnawarman,Cipayung,Kristen,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1195911706991016,Wahyu Saputra,Payakumbuh,17-06-1999,Laki-Laki,AB,Jalan Thamrin No.152,12/01,Kebon Kacang,Beji,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
3419165511746545,Indah Purnomo,Gunungkidul,15-11-1974,Perempuan,AB,Jalan Diponegoro No.13,16/03,Cibubur,Pancoran Mas,Islam,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
1533282105533680,Joko Pratama,Singaraja,21-05-1953,Laki-Laki,A,Jalan Thamrin No.91,18/08,Desakota,Tapos,Islam,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3650510812926816,Wahyu Sutrisno,Bekasi,08-12-1992,Laki-Laki,B,Jalan Diponegoro No.149,13/21,Desakota,Sukajaya,Konghucu,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2485525404979362,Indah Wijaya,Purwokerto,14-04-1997,Perempuan,A,Jalan Thamrin No.129,09/12,Cilincing,Sukmajaya,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
1160180608825688,Yusuf Wahyudi,Jakarta Utara,06-08-1982,Laki-Laki,B,Jalan Sudirman No.156,01/04,Sukamaju,Sukajaya,Buddha,Kawin,Guru,WNI,Seumur Hidup
3171925406559212,Kartika Purnomo,Jakarta Utara,14-06-1955,Perempuan,AB,Jalan Gajah Mada No.165,18/02,Karanganyar,Sukajaya,Hindu,Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
3260184110769504,Kartika Setiawan,Kutai Barat,01-10-1976,Perempuan,A,Jalan Merdeka No.131,13/07,Purnawarman,Sukmajaya,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
3411272511546666,Gunawan Sutrisno,Jakarta Barat,25-11-1954,Laki-Laki,O,Jalan Diponegoro No.92,01/24,Purnawarman,Sukmajaya,Konghucu,Belum Kawin,Buruh,WNI,Seumur Hidup
3943285403041449,Indah Wahyudi,Bontang,14-03-2004,Perempuan,O,Jalan Sudirman No.135,17/18,Karanganyar,Sukajaya,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
2904222508565354,Gunawan Setiawan,Madiun,25-08-1956,Laki-Laki,AB,Jalan Merdeka No.78,12/19,Kebon Kacang,Tapos,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1510065702597994,Lestari Santoso,Jakarta Barat,17-02-1959,Perempuan,O,Jalan Sudirman No.148,06/08,Kebon Jeruk,Cengkareng,Kristen,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
3933150803506754,Hendra Saputra,Gianyar,08-03-1950,Laki-Laki,A,Jalan Thamrin No.168,20/01,Tanah Abang,Tapos,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3994924407077368,Lestari Hidayat,Bekasi,04-07-2007,Perempuan,O,Jalan Sudirman No.57,16/16,Cilincing,Cibadak,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3851241503730081,Yusuf Saputra,Bandung,15-03-1973,Laki-Laki,A,Jalan Diponegoro No.52,06/17,Tanjungsari,Tapos,Islam,Belum Kawin,Karyawan Honorer,WNI,Seumur Hidup
3780225209952643,Dewi Saputra,Tenggarong,12-09-1995,Perempuan,B,Jalan Diponegoro No.25,15/12,Desakota,Cilandak,Katolik,Kawin,Buruh,WNI,Seumur Hidup
3892945405545083,Indah Wahyudi,Depok,14-05-1954,Perempuan,AB,Jalan Sudirman No.37,03/12,Tanjungsari,Kemayoran,Buddha,Belum Kawin,Karyawan Honorer,WNI,Seumur Hidup
3215065110532815,Indah Saputra,Yogyakarta,11-10-1953,Perempuan,AB,Jalan Thamrin No.151,08/17,Tanjungsari,Kemayoran,Hindu,Kawin,Wartawan,WNI,Seumur Hidup
3359700601723968,Joko Pratama,Jakarta Utara,06-01-1972,Laki-Laki,AB,Jalan Gajah Mada No.2,14/23,Purnawarman,Cengkareng,Islam,Kawin,Wiraswasta,WNI,Seumur Hidup
4058520611986216,Teguh Setiawan,Surakarta,06-11-1998,Laki-Laki,AB,Jalan Merdeka No.111,15/15,Karanganyar,Beji,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
